노숙자의,homeless
딸기,strawberry
유리 지붕,glass roof
오리엔테이션,orientation session
다리,bridge
식당/레스토랑,restaurant
병원,hospital
시끄러운,noisy
할머니,grandmother
축하 연회,reception
가벼운/평상시의,casual
집중적인,intensive
싸게 사는 물건/흥정,bargain
자선 단체,charity
차고/주차장,garage
서랍,drawer
자연의/천연의,natural
유치원,nursery
빵 굽는 기구,toaster
차량/수송,transport
안전,safety
중간의/중급자,intermediate
테니스,tennis
채식주의자,vegetarian
휴식,relaxation
축하 행사/기념 행사,celebration
축하(인사),congratulation
치즈,cheese
휘발유,petrol
기숙사,hall/hall of residence
공동의,collaborative
행동,behavior
공항,airport
감소/하락,decline
미아,lost children
약사/약국,pharmacist
세대,generation
혼란/혼동,confusion
곡식,corn
협력하는/협동하는,cooperative
적합한/적절한,suitable
참가하다/참여하다,participate (in)
과제/임무,assignment
방문,visit
정부,government
자신감,confidence
식용 식물,edible plant
일년에 한번,annually
남성 정치인,male position
골프,golf
망보는,lookout
거의,goose
기부하다,make a donation
월간지,monthly magazine
저소득,low income
은퇴자/퇴직자,retiree
공동의/합동의,joint
혼합된,mixed
국림 보호지구,national reserve
역사 지도,historical map
자원,resource
나무로된/목재의,wooden
삭감/감소,reduction
새 둥지,bird's nest
심장/가슴,heart
연구,research
모의실험,simulation
통로,aisle
건축가,architect
안심시키다,reassure
버릇/습관,habit
차트를 완성하다,complete chart
회의 보고서,conference report
역사를 찾아보다,look up the history
토론/논의,debate
대화방,chat room
의회/입법 기관/집회,assembly
증기,steam
산소,oxygen
움직일 수 없는/갇힌,stuck
참고문헌,bibliography
첨부,attachment
넓히다/퍼지다,broaden
재미있어 하는,amused
멸종된,extinct
간섭/참견/방해,interference
글/기사,article
파동 에너지,wave energy
서리/성에,frost
지속/기간,duration
제조업,manufacturing
확대/확장,expansion
현실적인/실용적인,practical
이상,ideal
유연성/융통성,flexibility
여배우,actress
내륙 도시,inland city
울타리/장애물,fence
똑똑한,intelligent
더 깊이 있는,much deeper
복사/복사하다,photocopy
(지질학) 조산 운동,mountain building
기하학의/기하학적인,geometric
지원/도움,aid
부서/학과,department
지식 공유,knowledge sharing
방법론,methodology
이탤릭체,Italics
참을성/인내력,patience
텔레비전,television
부정확한,inaccurate
직접 얻은/경험한,first-hand
구별하다,distinguish
더욱 호감가는 외모,more desirable look
짜증을 내는/화가 나는,irritable
비디오 녹화,video recording
부족,shortage
살충제/농약,pesticide
수술,surgery
착수시키다,initiate
정리가 잘 된,well-organized
관심을 기울이다/주목하다,paying attention
종이 한장,a sheet of paper
지능,intelligence
혈류,blood flow
정신의/마음의,mental
대규모,large scale
(기업/조직의)강령,mission statement
이력서,CV
정보 부문/정보 분야,information sector
수학,mathematics
읽는데 어려움을 경험하다,experience reading difficulties
효율/능률,efficiency
재정적 소실,financial loss
집중적인,more concentrated
지하의/지하에,underground
(주변의) 환경,certain environment
(액체로 된) 약,medicine
화성,Mars
껍데기/껍질,shell
에너지 손실,energy loss
소화,digestion
수정시키다/비료를 주다,fertilize
실험실,laboratory
목재,timber
자극/흥분/고무/격려,stimulation
자기중심적인,self-centered
유럽,Europe
농업,agricultural
감소/하락,decline
정사각형/광장,square
2장 분량,two-page
기록 보관소,archive
사교적인,sociable
충격이 적은,low impact
대체 에너지,alternative energy
보존(관리) 지구,conservation area
수명,lifespan
틈/공백,gap
통풍/환기,ventilation
결석률,absent rate
상기하다,recall
정기적으로,regular basis
혁명,revolution
중요하지 않은,unimportant
도덕,morality
기계 장치,mechanism
위험,risk
느낌/기분,feeling
삼각형,triangle
바코드,barcode
홍수/범람,flooding
즉시/즉각,immediately
곡물,grain
수확/수확하다,harvest
휴대가 쉬운,portable
업무량,workload
지역사회,community
거푸집/곰팡이,mould
기계(류),machinery
탄력있는,elastic
독일,Germany
화살,arrow
결혼,marriage
재료/자료,material
추정/견적서,estimate
경작/재배,cultivation
소득/수입,income
구름,cloud
부정확한,incorrect
비상/긴급,emergency
포장,packaging
기자,journalist
나침반,compass
묻다/매장하다,bury
녹음기/기록담당자,recorder
젊음/청춘,youth
도전,challenge
온라인,on-line
소용없는/쓸모없는,useless
범죄,crime
로켓,rocket
계획/전략,strategies
전형적인/대표적인,typical
불필요한,unnecessary
우편 조사,postal survey
각도,angle
산소,oxygen
고대 로마인,Roman