이런 이유로,for this reason
최악의 상황,the worst case scenario
다양한,a wide range of
구체적으로,to be specific
~하는 것을 좋아한다,enjoy ~ing
책임감,responsibility
인도하다,guide
전공,major
산만해지다,get distracted
돌보다,look after
자주,frequently
~에 매료된/끌린,be fascinated by
필요로 한,necessary
그리고,besides
적당한,reasonable
내생각에는,in my opinion
나는 ~라고 생각한다,I believe that
이는 왜냐하면,this is because
X 곁에 있어주다,be there for X
~을 하자마자,as soon as
늦잠 자다,sleep in
만나다,meet up
분위기,atmosphere
습관된,accumstomed
정리된,organized
여러가지,several
무엇이든/아무거나,whatever
~을 유창하게 하다,be fluent in ~
필수적인,compulsory
헌신적인/열성적인,committed
주중에,on weekdays
아무거나,whatever
시도하다,attempt
생산적인,productive
X에게 의지하다,rely on X
~뿐만 아니라,as well as
정기적으로,on a regular basis
가볍게 아는 사이,acquaintance
진실된/진심어린,sincere
S 가 V 하는 이유는 왜냐하면,the reason why S V is because
X를 보살피다/좋아하다,care for X
많은 양의,heaps of
창의력,creativity
중요한/인상깊은,significant
X를 격려하는,supportive of X
곧바로,immediately
방법,way
마음을 가다듬다,calm oneself down
솔직히 말하자면,Frankly speaking
기회,opportunity
~를 잘 이용하다,make good use of
사실을 왜곡하다,twist the fact
X와 어울리다,get along with X
구경하다,look around
나의 관점으로는,from my perspective
고맙게 생각하다/감사하다,appreciate
절제된/말을 잘 듣는,disciplined
결국은/긴 안목으로 보면,in the long run
어느정도,more or less
능률적인/효과적인,efficient
2주일에 한번,once a fortnight
정기적으로,on a regular basis
때때로 (from t….),from time to time
때때로 (Every xxxx),every now and then
매일 매일 (every xxx),every single day
매일 매일 (each xxx),each and every day
매일 매일 (24xxx),24/7
N 때문에 바뻐서,due to heavy workload from N