지역경제를 활성화 시키다,promote the local economy
주최국,the hosting country
경험하는 것에 돈을 쓰다,spend money on experiencing
후진국,undeveloped countries
개발도상국,developing countries
수익,revenue
위험을 동반하다,accompany risks
파괴하다,destruct
해변 휴양지,seaside resorts
지역 생태의 파괴,the corruption of local ecology
침해,violate
접촉이 있을 때,when in contact with
정통성,authenticity
오랜 세월의 접촉,many years of contact
지역주민들이 말하는 것을 보다,see locals speaking
~에 대한 기여,contribution to
혜택을 누리다,enjoy the advantage of
인터넷 기반의 배움,Internet-based learning
원격 교육,distance learning
중요한 역할을 한다,play an important role in
~에 접근을,access to
~에도 상관없이,irrespective of
시간적인 제약,temporal restriction
이러닝,e-learning
진로를 계속 추구하다,pursue a career
그들만의 속도로,at their own pace
고립된 지역의 ,in remote areas
하지 않아도 되는 채로,without having to
이동하다,travel
저명한 교수님,prominent lecturers
수백마일,hundreds of miles
학생들이 받는 것을 막는다,deter students from receiving
무질서한/훈육이 안된,ill-disciplined
사회적으로 부적절한,socially inept
또래 압박,peer pressure
의욕이 꺾이다,demotivated
낮은 점수를 받다,score lower grades
그들의 스케쥴을 소화하다,manage their schedule
집중을 방해하는 것들을 마주하다,encounter many distractions
개인적 우선 순위,personal priorities
시간을 허비하다,procrastinate
안좋은 학업 성과,poor academic performance
사회성을 기르다,develop social skills
스트레스를 유발하다,cause much stress
업무 성취율,task achievement
집중하는데 시간을 보낸다,spend time with focusing
미완성,incompletion
역으로,conversely
직업의 기회를 제공하다,provide job opportunities
의심의 여지가 없다,there is no doubt that
신체적으로 힘든이들,those physically challenged
통근하다,commuting
to V를 어렵게 하다,make difficult to V
to V하는데 시간이 들지 않는다,it is unnecessary time to V
노동인구/노동력,work force
에너지를 아끼다,conserve energy
to V 할 필요가 없다,no need to V
기름,fuel
대기오염,air pollution