나는 그녀가 테니스 치는 것을 보았다.,I saw her play tennis.
나는 그녀가 나를 응시하는 것을 알아차렸다.,I noticed her stare at me.
나는 하늘에서 움직이는 행성들을 관찰한다.,I observe stars move in the sky.
나는 그가 유령을 보고 소리치는 것을 들었다.,I heard him scream to see a ghost.
나는 무언가가 내 피부위로 기어가는 것을 느꼈다.,I felt something crawl on my skin.
나는 음식들이 그 전자레인지 안에서 타는 냄새를 맡았다.,I smelled foods burning in the microwave oven.
나는 그가 강도들에게 맞는 것을 보았다.,I saw him beaten by robbers.
나는 유리들이 부서지는 것을 들었다.,I heard windows broken.
나는 내 오른쪽 발목이 삐는 것을 느꼈다.,I felt my right ankle sprained.
나는 그에게 그의 차를 고치도록 했다.,I had him repair his car.
나는 그의 차가 고쳐지도록 했다.,I had his car repaired.
나는 그녀가 영어공부를 하도록 했다.,I made her study English.
나는 영어가 그녀에 의해서 공부되도록 했다.,I made English studied by her.
나의 어머니는 내가 남자친구와 놀러 가도록 허락을 하셨다.,My mother let me hang out with my boyfriend.
친구들은 늘 내가 어려운 문제들을 극복하도록 도와준다.,Friends always help me overcome difficult problems.
나는 그가 나의 고장난 컴퓨터를 고치도록 했다.,I got him fix my broken computer.
나는 나의 고장난 컴퓨터가 고쳐지게 했다.,I got my broken computer fixed.
나는 나의 개들이 달리게 했다.,I got my dogs running.
나는 그녀가 이번 시험에 통과하기를 원한다.,I desire her to pass this exam.
나는 한국정부가 경제침체에 대해서 적절한 조치들을 취하기를 기대한다.,I expect Korean government to take proper actions against economic downturn.
나의 아버지는 내가 공부에 집중할 수 있도록 동기를 주신다.,My father motivates me to concentrate on my study.
열정은 사람들이 그들의 분야에서 성공하도록 허락한다.,Passion permits people to succeed in their own fields.
교육제도들는 학생들이 열심히 공부하도록 강제한다.,Education systems force students to study hard.
그의 노력은 그가 성공을 성취할 수 있도록 했다.,His effort enabled him to achieve his success.
지나친 자동차의 사용은 환경이 오염되도록 유발한다.,Excessive use of a car causes environment to be polluted.
내 아내는 내가 새로운 도전을 하도록 독려했다.,My wife encouraged me to take a new challenge.
나는 그가 범죄자들을 용서하도록 설득했다.,I persuaded him to forgive criminals.
나는 그가 술을 많이 마시지 않도록 조언했다.,I advised him not to drink too much.
나는 그가 거기에 가도록 의도하지 않았다.,I did not intend him to go there.
우리는 이 프로젝트를 성공적으로 만들었다.,We made this project successful.
나의 어머니는 나를 의사로 만들었다.,My mother made me a doctor.
우리는 그 사건을 비극적인 사건이라고 부른다.,We call the event the tragic event.
우리는 그것을 합리적이라고 부른다.,We call that reasonable.
그녀의 부모는 그들의 딸을 Jane 이라고 이름을 지었다.,Her parents named her daughter Jane.
이 담요는 너를 따뜻하게 유지해 줄 것이다.,This blanket will keep you warm.
그녀는 나를 계속 공부에 몰두하게 했다.,She kept me focusing on my study.
나는 나의 머리가 펴지게 할 것이다.,I will keep my hair straightened.
문을 연 채로 놔두어라.,Leave the door open.
그는 그의 아이들이 컴퓨터 게임을 하도록 내버려 두었다.,He left his children to play computer games.
아이들을 방치하지 말아라.,Do not leave children abandoned.
나는 그녀가 현명하다는 것을 안다.,I find her wise.
그들은 그들이 만든 약이 작용을 한다는 것을 발견했다.,They found the medicine they made work.
나는 그 책이 학생들에게 많은 정보나 지식을 준다는 것을 발견했었다.,I found the book to give a lot of information and knowledge to pupils.
나는 그녀가 그를 3시간 동안 기다렸다는 것을 알았다.,I found her waiting for him for 3 hours.
나는 내 차가 어제의 사고 때문에 심하게 부서진 것을 발견했다.,I found my car badly damaged due to the car accident yesterday.